City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
363,363,Padang,ID,-0.9492,100.3543,80.6,78,96,2.13,overcast clouds,Mercure Padang
365,365,Kirakira,SB,-10.4544,161.9205,84.27,75,78,1.05,broken clouds,SanBiz Lodge
367,367,Dingle,PH,10.9995,122.6711,85.23,64,79,4.36,light rain,SEGAYA PROPERTY
373,373,Aswan,EG,24.0934,32.907,84.06,13,0,12.91,clear sky,Nuba Nile
374,374,Papara,BR,-3.9839,-38.7273,82.0,89,0,2.3,clear sky,Romin
400,400,Sola,VU,-13.8833,167.55,87.8,74,40,5.75,scattered clouds,Leumerus Bungalows
403,403,Nha Trang,VN,12.25,109.1833,86.0,66,20,3.44,few clouds,Sheraton Nha Trang Hotel & Spa
406,406,Tura,IN,25.5198,90.2201,82.33,27,3,4.72,clear sky,Hotel RIKMAN Continental
411,411,Ormara,PK,25.2088,64.6357,80.96,69,5,3.47,clear sky,Crystal Beach and Camping Resort Ormara
416,416,Port Hedland,AU,-20.3167,118.5667,84.2,18,0,17.27,clear sky,The Esplanade Hotel
427,427,Faanui,PF,-16.4833,-151.75,81.16,64,2,1.36,clear sky,Bora-Bora Pearl Beach Resort & Spa
435,435,Kavieng,PG,-2.5744,150.7967,83.35,69,83,3.33,broken clouds,Nusa Island Retreat
438,438,Sumenep,ID,-7.0167,113.8667,84.29,67,16,11.79,few clouds,OYO 3271 Homestay Pandian
441,441,Banjarmasin,ID,-3.3244,114.59100000000001,80.6,83,20,3.44,few clouds,Swiss-Belhotel Borneo Banjarmasin
453,453,Diglur,IN,18.55,77.6,88.95,29,38,5.41,scattered clouds,Mirza Asad Baig (Residence)
465,465,Nandyal,IN,15.4833,78.4833,80.98,51,79,3.91,broken clouds,Hotel Shobha
483,483,Sungairaya,ID,0.7,108.9,83.37,72,12,3.71,few clouds,Mess P.Milu
498,498,Yarada,IN,17.65,83.2667,80.6,94,40,3.44,mist,Jeevan
504,504,Doha,QA,25.2867,51.5333,81.0,73,8,4.61,clear sky,Movenpick Hotel Doha
516,516,Boa Vista,BR,2.8197,-60.6733,80.6,83,75,2.3,broken clouds,Aipana Plaza Hotel
550,550,Marigot,MF,18.0667,-63.0833,80.6,74,40,10.36,scattered clouds,"Sonesta Maho Beach Resort, Casino & Spa"
557,557,Fare,PF,-16.7,-151.0167,81.39,64,0,2.68,clear sky,Maitai Lapita Village Huahine
566,566,Tuy Hoa,VN,13.0833,109.3,84.25,70,16,1.03,few clouds,CenDeluxe Hotel Tuy Hoa
581,581,Sompeta,IN,18.9333,84.6,81.54,66,74,9.55,broken clouds,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
587,587,Sur,OM,22.5667,59.5289,83.17,43,10,7.25,clear sky,Sur Plaza Hotel
588,588,Tarakan,ID,3.3,117.6333,86.0,79,75,6.91,broken clouds,RedDoorz Syariah near Taman Berlabuh Tarakan
591,591,Wakema,MM,16.6,95.1833,82.02,70,100,5.55,overcast clouds,AungKaDay Hotel
605,605,Guatire,VE,10.4762,-66.5427,80.6,78,40,1.14,scattered clouds,Parque Residencial Canaima I
611,611,Samarai,PG,-10.6167,150.6667,85.14,69,59,11.54,broken clouds,Nuli Sapi
631,631,Labuhan,ID,-6.8844,112.2051,81.19,78,0,10.25,clear sky,PT PPI Lamongan Tambak C
635,635,Amuntai,ID,-2.4177,115.2494,85.55,64,33,2.86,light rain,Hotel Balqis
640,640,Luganville,VU,-15.5333,167.1667,84.42,74,72,6.82,broken clouds,The Espiritu Hotel
641,641,Fort Pierce,US,27.4467,-80.3256,80.01,73,90,4.61,overcast clouds,Hutchinson Island Plaza Hotel & Suites
645,645,Gibara,CU,21.1097,-76.1317,80.6,78,75,9.22,broken clouds,Sol y Mar
662,662,Balikpapan,ID,-1.2675,116.8289,80.96,78,65,3.91,broken clouds,ibis Balikpapan
663,663,Kanbe,MM,16.7053,96.0017,82.4,83,40,3.44,scattered clouds,CBT Mingalar Bar Bio Garden
666,666,Contramaestre,CU,20.2978,-76.2414,80.6,78,75,9.22,broken clouds,Hotel Caribeño
671,671,Banda Aceh,ID,5.5577,95.3222,81.07,73,97,5.41,overcast clouds,Sulthan Hotel International
672,672,Biak,ID,-0.9131,122.8766,81.61,67,98,5.55,overcast clouds,Penginapan Kim
