City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Dabola,GN,10.75,-11.1167,79.52,61,52,5.19,broken clouds
80,Pacifica,US,37.6138,-122.4869,55.99,82,90,8.05,haze
81,Zhigansk,RU,66.7697,123.3711,32.58,99,100,6.85,snow
82,Tommot,RU,58.9564,126.2925,37.35,90,100,8.5,overcast clouds
83,Moranbah,AU,-22.0016,148.0466,74.3,51,6,19.08,clear sky
84,Avarua,CK,-21.2078,-159.775,82.4,74,20,10.36,few clouds
85,Bell Ville,AR,-32.6259,-62.6887,55.0,85,0,3.31,clear sky
86,West Helena,US,34.5507,-90.6418,69.8,64,0,4.85,clear sky
87,Tuatapere,NZ,-46.1333,167.6833,46.0,89,100,14.0,overcast clouds
88,Katsuura,JP,35.1333,140.3,57.0,35,0,17.27,clear sky
89,Arraial Do Cabo,BR,-22.9661,-42.0278,74.26,84,81,10.51,broken clouds
90,Broome,US,42.2506,-75.833,45.0,70,40,13.8,scattered clouds
91,Haines Junction,CA,60.7522,-137.5108,57.2,21,0,5.75,clear sky
92,Coahuayana,MX,18.7333,-103.6833,78.8,50,40,11.5,scattered clouds
93,Mar Del Plata,AR,-38.0023,-57.5575,61.0,88,20,3.44,few clouds
94,Ineu,RO,46.4333,21.85,42.01,87,19,8.05,few clouds
95,Nome,US,64.5011,-165.4064,46.4,61,1,4.68,clear sky
96,El Tigre,VE,8.8875,-64.2454,80.83,59,100,13.67,overcast clouds
97,Yulara,AU,-25.2406,130.9889,71.6,28,0,18.41,clear sky
98,Shimanovsk,RU,52.0,127.7,53.94,29,100,10.98,overcast clouds
99,Road Town,VG,18.4167,-64.6167,80.6,78,40,10.36,scattered clouds
100,Kutum,SD,14.2,24.6667,76.17,15,41,11.07,scattered clouds
101,Pochutla,MX,15.7432,-96.4661,84.2,65,90,9.22,overcast clouds
102,Hilo,US,19.7297,-155.09,75.2,73,90,11.5,moderate rain
103,Hartford,US,41.7668,-72.7662,53.01,71,1,4.59,clear sky
104,Nelson Bay,AU,-32.7167,152.15,68.0,73,75,4.61,broken clouds
105,Ponta Do Sol,PT,32.6667,-17.1,57.99,86,55,1.99,broken clouds
106,Acapulco,MX,16.8634,-99.8901,82.4,78,90,5.75,overcast clouds
107,Marsa Matruh,EG,31.3525,27.2453,62.6,82,40,16.11,scattered clouds
108,Ostrovnoy,RU,68.0531,39.5131,31.96,98,100,20.58,snow
109,Mutsu,JP,41.2894,141.2169,48.2,34,20,9.22,few clouds
110,Miles City,US,46.4083,-105.8406,55.4,47,90,12.66,overcast clouds
111,The Valley,AI,18.217,-63.0578,80.6,74,40,10.36,scattered clouds
112,Riyadh,SA,24.6877,46.7219,80.6,14,0,1.14,clear sky
113,Turukhansk,RU,65.8167,87.9833,14.7,81,50,4.52,scattered clouds
114,Kaitangata,NZ,-46.2817,169.8464,48.15,89,100,14.47,overcast clouds
115,Asau,RO,46.4333,26.4,42.01,61,32,1.72,scattered clouds
116,Dikson,RU,73.5069,80.5464,17.1,93,100,15.19,light snow
117,Praia Da Vitoria,PT,38.7333,-27.0667,59.0,88,75,11.48,broken clouds
118,East London,ZA,-33.0153,27.9116,67.75,52,100,8.99,overcast clouds
119,Vaini,TO,-21.2,-175.2,82.4,78,75,6.91,broken clouds
120,Zdvinsk,RU,54.7021,78.661,43.27,56,100,10.6,overcast clouds
121,Thompson,CA,55.7435,-97.8558,32.0,93,90,7.23,light snow
122,Upernavik,GL,72.7868,-56.1549,31.35,76,100,2.71,overcast clouds
123,Muros,ES,42.7762,-9.0603,57.0,94,10,1.99,clear sky
124,Obihiro,JP,42.9172,143.2044,41.0,36,20,10.36,few clouds
125,Broken Hill,AU,-31.95,141.4333,68.0,42,0,3.44,clear sky
126,Makinsk,KZ,52.6292,70.4169,44.29,84,100,10.42,overcast clouds
127,Mandera,KE,3.9366,41.867,79.23,71,57,5.97,light rain
128,Oktyabrskoye,RU,43.0645,44.7417,48.2,93,76,4.47,broken clouds
129,Ahuimanu,US,21.4447,-157.8378,82.4,61,75,14.97,broken clouds
130,Tual,ID,-5.6667,132.75,83.23,68,91,7.36,overcast clouds
131,Port Elizabeth,ZA,-33.918,25.5701,57.2,88,0,5.75,clear sky
132,Brazzaville,CG,-4.2658,15.2832,77.0,83,20,2.3,light rain
133,Hermanus,ZA,-34.4187,19.2345,60.01,92,2,1.01,clear sky
134,Puri,IN,19.8,85.85,86.0,94,20,10.36,haze
135,San Andres,CO,12.5847,-81.7006,82.4,78,40,9.22,scattered clouds
136,Chapais,CA,49.7834,-74.8492,28.4,86,90,11.5,light snow
137,Saint-Philippe,RE,-21.3585,55.7679,77.0,69,90,13.8,light rain
138,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,81,40,8.05,scattered clouds
139,Rocha,UY,-34.4833,-54.3333,58.37,77,62,8.16,broken clouds
140,Kroya,ID,-7.6331,109.2461,80.87,74,1,1.23,clear sky
141,Sorland,NO,67.667,12.6934,37.62,61,100,9.35,overcast clouds
142,Togur,RU,58.3631,82.8265,34.56,97,89,2.37,overcast clouds
143,Navoi,UZ,40.0844,65.3792,51.8,62,2,4.61,clear sky
144,Kabompo,ZM,-13.5927,24.2008,62.64,69,97,4.41,overcast clouds
145,Orikum,AL,40.3253,19.4714,57.18,67,10,5.97,clear sky
146,Dongkan,CN,33.9997,119.8308,59.52,70,100,6.49,overcast clouds
147,Sivaki,RU,52.6333,126.75,52.61,31,100,4.14,overcast clouds
148,Luderitz,NA,-26.6481,15.1594,61.43,91,96,3.06,overcast clouds
149,Gamba,GA,-2.65,10.0,77.81,87,54,1.57,broken clouds
150,Alta Floresta,BR,-9.8756,-56.0861,72.05,94,93,1.72,moderate rain
151,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.46,89,99,4.74,overcast clouds
152,Lavrentiya,RU,65.5833,-171.0,32.56,94,95,1.57,overcast clouds
153,Najran,SA,17.4924,44.1277,75.2,43,75,1.74,broken clouds
154,Srednekolymsk,RU,67.45,153.6833,23.59,71,6,8.9,clear sky
155,Bredasdorp,ZA,-34.5322,20.0403,51.8,93,100,3.44,overcast clouds
156,Fresno,US,36.6666,-119.8343,57.99,77,90,8.05,light rain
157,Sortland,NO,68.6949,15.4162,33.01,86,90,1.9,overcast clouds
158,Husavik,IS,66.0449,-17.3389,35.6,93,90,11.5,overcast clouds
159,Kapaa,US,22.0752,-159.319,78.8,69,40,13.8,scattered clouds
160,Bengkulu,ID,-3.8004,102.2655,79.16,78,54,4.05,broken clouds
161,Airai,TL,-8.9266,125.4092,68.7,46,38,2.82,scattered clouds
162,Cranbrook,CA,49.4999,-115.7688,44.6,81,75,8.05,broken clouds
163,Le Port,RE,-20.9373,55.2919,75.2,73,0,16.11,clear sky
164,Yellowknife,CA,62.456,-114.3525,10.4,79,90,11.5,light snow
165,Kudahuvadhoo,MV,2.6708,72.8944,82.8,69,79,5.7,broken clouds
166,Mitsamiouli,KM,-11.3847,43.2844,80.47,76,100,5.26,overcast clouds
167,Krasnoselkup,RU,65.7,82.4667,21.72,86,22,6.15,few clouds
168,Erenhot,CN,43.6475,111.9767,45.3,13,13,33.64,few clouds
169,Pisco,PE,-13.7,-76.2167,64.4,88,75,3.44,broken clouds
170,Saldanha,ZA,-33.0117,17.9442,60.8,94,11,9.22,few clouds
171,Mahebourg,MU,-20.4081,57.7,75.2,94,75,11.5,light rain
172,Gerash,IR,27.6652,54.1371,62.6,25,0,1.57,clear sky
173,Lazarev,RU,52.225,141.5131,29.73,74,13,5.06,few clouds
174,Pangai,TO,-19.8,-174.35,84.2,70,40,12.66,scattered clouds
175,Te Anau,NZ,-45.4167,167.7167,49.41,84,92,9.57,light rain
176,Waverley,ZA,-25.7023,28.2591,59.0,41,0,5.17,clear sky
177,Khatanga,RU,71.9667,102.5,11.1,93,100,12.82,overcast clouds
178,Freetown,SL,8.484,-13.2299,78.39,75,91,1.34,light rain
179,Umm Lajj,SA,25.0213,37.2685,78.8,59,0,7.45,clear sky
180,Gimbi,ET,9.1667,35.8333,57.79,91,100,2.82,light rain
181,Kuhdasht,IR,33.535,47.6061,64.69,32,85,2.89,overcast clouds
182,Dese,ET,11.1333,39.6333,55.31,81,100,1.45,light rain
183,Mount Gambier,AU,-37.8333,140.7667,57.2,82,90,6.91,overcast clouds
184,Kruisfontein,ZA,-34.0033,24.7314,66.83,46,100,3.96,overcast clouds
185,Boromo,BF,11.75,-2.9333,90.39,31,84,5.1,broken clouds
186,Atagay,RU,55.1033,99.3875,35.08,94,100,10.42,light snow
187,Talnakh,RU,69.4865,88.3972,5.61,88,94,6.98,overcast clouds
188,Oranjestad,AW,12.524,-70.027,80.6,78,20,17.27,few clouds
189,Alofi,NU,-19.0595,-169.9187,84.2,70,96,5.75,overcast clouds
190,Jacqueville,CI,5.2052,-4.4146,80.6,94,20,4.61,few clouds
191,Nova Serrana,BR,-19.8761,-44.9836,64.18,50,32,3.87,scattered clouds
192,Oktyabrskiy,RU,54.4815,53.471,36.66,72,0,13.96,clear sky
193,Hobart,AU,-42.8794,147.3294,62.6,48,75,13.8,broken clouds
194,Amravati,IN,20.9333,77.75,85.42,16,50,7.74,scattered clouds
195,Leningradskiy,RU,69.3833,178.4167,28.63,83,100,1.23,overcast clouds
